lead_id,company_name,contact_name,email,job_title,industry,company_size,region,source_channel,decision_maker,created_date,last_activity,last_touch,page_views_7d,emails_opened_30d,calls_last_30d,days_in_pipeline,deal_size_estimate,lead_score,conversion_probability,converted
LEAD_000068,Finance Company 68,Contact 68,contact68@company68.com,IT Director,Finance,51-200,EU,paid,False,2024-12-01,2024-12-23,webinar,7,2,2,66,2029,59,0.594,0
LEAD_000069,Retail Company 69,Contact 69,contact69@company69.com,CEO,Retail,1001-5000,NA,paid,False,2024-09-10,2024-10-05,email_open,6,1,1,57,301,38,0.389,0
LEAD_000070,Manufacturing Company 70,Contact 70,contact70@company70.com,Product Manager,Manufacturing,1-10,NA,paid,True,2025-07-22,2025-08-11,ad_click,3,1,3,94,18,44,0.446,1
LEAD_000071,Finance Company 71,Contact 71,contact71@company71.com,CEO,Finance,201-1000,MEA,organic,False,2024-10-27,2024-11-24,pricing_page,3,0,0,118,2072,33,0.334,0
LEAD_000072,E-commerce Company 72,Contact 72,contact72@company72.com,Operations Manager,E-commerce,11-50,LATAM,paid,True,2025-09-05,2025-10-04,content_download,5,3,1,152,976,31,0.319,1
LEAD_000073,SaaS Company 73,Contact 73,contact73@company73.com,Operations Manager,SaaS,11-50,NA,direct,True,2025-01-26,2025-02-09,trial_signup,3,0,2,143,2389,58,0.585,0
LEAD_000074,Real Estate Company 74,Contact 74,contact74@company74.com,CTO,Real Estate,11-50,APAC,organic,False,2024-10-19,2024-11-14,content_download,3,2,0,152,842,22,0.228,1
LEAD_000075,Manufacturing Company 75,Contact 75,contact75@company75.com,Sales Manager,Manufacturing,51-200,NA,direct,True,2025-04-26,2025-05-02,email_open,5,0,3,68,436,55,0.553,0
LEAD_000076,Technology Company 76,Contact 76,contact76@company76.com,Business Analyst,Technology,1001-5000,NA,social,False,2025-07-19,2025-07-28,trial_signup,9,2,2,143,8145,75,0.752,1
LEAD_000077,Retail Company 77,Contact 77,contact77@company77.com,CFO,Retail,11-50,LATAM,direct,True,2025-01-17,2025-01-20,email_open,11,2,2,25,2204,52,0.524,0
LEAD_000078,E-commerce Company 78,Contact 78,contact78@company78.com,IT Director,E-commerce,11-50,LATAM,organic,False,2025-02-03,2025-02-09,webinar,11,10,2,175,444,61,0.612,0
LEAD_000079,Retail Company 79,Contact 79,contact79@company79.com,VP Sales,Retail,1001-5000,NA,direct,True,2025-04-01,2025-04-02,ad_click,4,0,1,145,12196,37,0.37,1
LEAD_000080,Consulting Company 80,Contact 80,contact80@company80.com,Product Manager,Consulting,201-1000,EU,organic,False,2024-11-18,2024-12-15,email_open,4,1,0,28,2542,27,0.278,0
LEAD_000081,Retail Company 81,Contact 81,contact81@company81.com,Product Manager,Retail,11-50,LATAM,organic,False,2024-11-07,2024-11-21,trial_signup,1,2,1,120,217,28,0.286,0
LEAD_000082,SaaS Company 82,Contact 82,contact82@company82.com,Product Manager,SaaS,51-200,MEA,organic,True,2025-05-24,2025-06-11,content_download,8,1,1,179,6888,48,0.485,1
LEAD_000083,Healthcare Company 83,Contact 83,contact83@company83.com,CEO,Healthcare,201-1000,MEA,organic,True,2025-07-10,2025-07-12,contact_form,10,5,3,37,852,76,0.767,0
LEAD_000084,Finance Company 84,Contact 84,contact84@company84.com,Marketing Director,Finance,1-10,APAC,paid,False,2025-01-31,2025-02-14,webinar,8,2,1,68,1979,41,0.418,0
LEAD_000085,Finance Company 85,Contact 85,contact85@company85.com,CEO,Finance,5000+,EU,organic,True,2025-06-12,2025-07-01,case_study_view,2,1,6,101,1347,63,0.633,0
LEAD_000086,SaaS Company 86,Contact 86,contact86@company86.com,CTO,SaaS,11-50,LATAM,paid,True,2024-09-13,2024-09-17,webinar,5,2,1,161,4818,42,0.426,1
LEAD_000087,Technology Company 87,Contact 87,contact87@company87.com,Operations Manager,Technology,11-50,NA,direct,True,2025-01-06,2025-02-04,product_tour,7,0,0,6,943,30,0.305,1
LEAD_000088,Real Estate Company 88,Contact 88,contact88@company88.com,VP Sales,Real Estate,11-50,LATAM,paid,True,2025-08-13,2025-08-17,email_open,3,0,0,131,1014,12,0.12,0
LEAD_000089,E-commerce Company 89,Contact 89,contact89@company89.com,Sales Manager,E-commerce,5000+,EU,paid,True,2024-09-11,2024-09-30,demo_request,7,0,2,54,3022,67,0.673,0
LEAD_000090,E-commerce Company 90,Contact 90,contact90@company90.com,Operations Manager,E-commerce,1001-5000,MEA,direct,False,2025-03-14,2025-03-31,webinar,11,1,5,63,788,81,0.814,0
LEAD_000091,SaaS Company 91,Contact 91,contact91@company91.com,CTO,SaaS,51-200,APAC,direct,True,2024-09-29,2024-10-10,webinar,4,0,1,1,1151,42,0.429,0
LEAD_000092,SaaS Company 92,Contact 92,contact92@company92.com,CTO,SaaS,11-50,EU,paid,True,2024-09-19,2024-09-25,webinar,1,2,1,144,4228,36,0.36,0
LEAD_000093,SaaS Company 93,Contact 93,contact93@company93.com,Product Manager,SaaS,1001-5000,EU,paid,False,2024-09-18,2024-10-11,trial_signup,9,4,3,30,11942,87,0.878,1
LEAD_000094,E-commerce Company 94,Contact 94,contact94@company94.com,Marketing Director,E-commerce,1-10,APAC,paid,False,2025-07-10,2025-07-21,case_study_view,3,0,1,162,395,18,0.189,0
LEAD_000095,Consulting Company 95,Contact 95,contact95@company95.com,IT Director,Consulting,11-50,MEA,social,True,2025-04-05,2025-04-10,demo_request,1,1,0,175,413,24,0.247,0
LEAD_000096,SaaS Company 96,Contact 96,contact96@company96.com,CTO,SaaS,11-50,MEA,referral,False,2025-05-28,2025-06-25,case_study_view,0,0,4,100,681,61,0.612,0
LEAD_000097,Manufacturing Company 97,Contact 97,contact97@company97.com,Business Analyst,Manufacturing,11-50,APAC,referral,False,2025-04-22,2025-05-13,trial_signup,13,3,4,12,1302,87,0.873,1
LEAD_000098,E-commerce Company 98,Contact 98,contact98@company98.com,VP Sales,E-commerce,201-1000,EU,paid,False,2025-02-10,2025-02-26,demo_request,5,5,6,59,646,84,0.847,1
LEAD_000099,Healthcare Company 99,Contact 99,contact99@company99.com,IT Director,Healthcare,201-1000,EU,direct,False,2025-06-15,2025-07-11,ad_click,6,2,1,57,1922,44,0.445,1
LEAD_000100,SaaS Company 100,Contact 100,contact100@company100.com,Sales Manager,SaaS,51-200,EU,direct,True,2024-11-13,2024-12-05,demo_request,5,3,3,75,2224,80,0.804,0
LEAD_000101,Real Estate Company 101,Contact 101,contact101@company101.com,Operations Manager,Real Estate,201-1000,MEA,organic,True,2025-05-16,2025-06-10,content_download,13,5,6,156,3752,87,0.879,1
LEAD_000102,Healthcare Company 102,Contact 102,contact102@company102.com,CEO,Healthcare,1001-5000,NA,paid,True,2024-11-03,2024-11-30,case_study_view,2,0,2,91,1216,48,0.486,0
LEAD_000103,Real Estate Company 103,Contact 103,contact103@company103.com,VP Sales,Real Estate,1-10,LATAM,organic,False,2025-03-20,2025-03-29,case_study_view,11,1,2,68,260,44,0.443,1
LEAD_000104,Retail Company 104,Contact 104,contact104@company104.com,Sales Manager,Retail,1-10,APAC,direct,False,2025-08-04,2025-09-02,trial_signup,5,5,2,3,88,46,0.468,1
LEAD_000105,Education Company 105,Contact 105,contact105@company105.com,Sales Manager,Education,201-1000,LATAM,referral,True,2025-07-27,2025-08-19,product_tour,8,3,0,139,695,31,0.313,0
LEAD_000106,Education Company 106,Contact 106,contact106@company106.com,Marketing Director,Education,1-10,EU,organic,False,2024-09-09,2024-09-26,demo_request,2,0,2,141,134,42,0.421,1
LEAD_000107,Manufacturing Company 107,Contact 107,contact107@company107.com,CEO,Manufacturing,201-1000,EU,paid,False,2025-03-18,2025-03-19,demo_request,1,0,2,134,1071,52,0.521,1
LEAD_000108,Healthcare Company 108,Contact 108,contact108@company108.com,Operations Manager,Healthcare,1-10,MEA,paid,True,2024-11-04,2024-12-04,webinar,9,1,2,97,417,50,0.505,1
LEAD_000109,SaaS Company 109,Contact 109,contact109@company109.com,Operations Manager,SaaS,11-50,APAC,social,False,2025-02-22,2025-03-21,email_open,6,0,1,66,1479,39,0.399,0
LEAD_000110,Manufacturing Company 110,Contact 110,contact110@company110.com,CFO,Manufacturing,11-50,NA,social,False,2025-08-24,2025-09-05,contact_form,5,1,2,150,287,52,0.521,0
LEAD_000111,E-commerce Company 111,Contact 111,contact111@company111.com,CTO,E-commerce,11-50,EU,organic,False,2025-03-03,2025-04-01,ad_click,5,1,3,166,286,52,0.524,1
LEAD_000112,Manufacturing Company 112,Contact 112,contact112@company112.com,CTO,Manufacturing,5000+,EU,referral,False,2025-01-22,2025-02-06,ad_click,8,0,1,58,1239,43,0.434,0
LEAD_000113,E-commerce Company 113,Contact 113,contact113@company113.com,Sales Manager,E-commerce,51-200,NA,organic,False,2024-12-29,2025-01-22,webinar,4,0,3,58,720,59,0.597,0
LEAD_000114,Consulting Company 114,Contact 114,contact114@company114.com,CFO,Consulting,1-10,LATAM,organic,False,2025-02-06,2025-02-28,product_tour,4,1,5,23,108,52,0.528,0
LEAD_000115,SaaS Company 115,Contact 115,contact115@company115.com,Product Manager,SaaS,1001-5000,APAC,paid,True,2025-01-18,2025-02-01,product_tour,10,3,2,151,1166,71,0.715,0
LEAD_000116,E-commerce Company 116,Contact 116,contact116@company116.com,VP Sales,E-commerce,51-200,NA,paid,False,2024-12-08,2025-01-07,product_tour,3,2,2,157,8852,47,0.472,0
LEAD_000117,SaaS Company 117,Contact 117,contact117@company117.com,CEO,SaaS,51-200,NA,paid,False,2024-12-01,2024-12-30,contact_form,6,7,3,73,2333,79,0.792,0
LEAD_000118,Healthcare Company 118,Contact 118,contact118@company118.com,Sales Manager,Healthcare,11-50,APAC,paid,False,2025-04-15,2025-04-29,webinar,2,0,1,66,76,27,0.278,0
LEAD_000119,E-commerce Company 119,Contact 119,contact119@company119.com,Product Manager,E-commerce,11-50,EU,direct,False,2025-04-03,2025-04-11,contact_form,1,1,3,58,730,47,0.478,1
LEAD_000120,SaaS Company 120,Contact 120,contact120@company120.com,CTO,SaaS,201-1000,EU,organic,True,2025-08-18,2025-09-15,case_study_view,9,0,1,80,1125,53,0.53,1
LEAD_000121,Real Estate Company 121,Contact 121,contact121@company121.com,VP Sales,Real Estate,11-50,EU,direct,False,2025-07-19,2025-08-13,webinar,10,3,2,125,96,55,0.555,1
LEAD_000122,Education Company 122,Contact 122,contact122@company122.com,CEO,Education,11-50,LATAM,paid,False,2025-03-12,2025-04-08,trial_signup,4,1,0,144,1305,29,0.299,0
LEAD_000123,Healthcare Company 123,Contact 123,contact123@company123.com,VP Sales,Healthcare,1-10,NA,referral,False,2025-01-23,2025-02-13,webinar,1,0,3,171,2121,44,0.44,0
LEAD_000124,E-commerce Company 124,Contact 124,contact124@company124.com,CTO,E-commerce,51-200,NA,social,True,2024-12-27,2025-01-15,content_download,8,2,3,93,518,66,0.662,1
LEAD_000125,SaaS Company 125,Contact 125,contact125@company125.com,Business Analyst,SaaS,51-200,EU,social,True,2025-03-06,2025-03-26,pricing_page,7,3,3,45,3788,79,0.793,0
LEAD_000126,Technology Company 126,Contact 126,contact126@company126.com,Operations Manager,Technology,1-10,NA,organic,False,2025-06-26,2025-07-01,product_tour,5,1,1,138,358,32,0.325,0
LEAD_000127,Real Estate Company 127,Contact 127,contact127@company127.com,VP Sales,Real Estate,11-50,NA,organic,True,2025-07-19,2025-07-27,trial_signup,7,1,2,128,2387,57,0.578,1
LEAD_000128,SaaS Company 128,Contact 128,contact128@company128.com,Business Analyst,SaaS,51-200,NA,paid,True,2025-08-09,2025-09-03,contact_form,11,0,3,89,378,79,0.799,0
LEAD_000129,Healthcare Company 129,Contact 129,contact129@company129.com,Business Analyst,Healthcare,201-1000,EU,social,False,2024-09-12,2024-09-26,pricing_page,3,2,1,166,2239,45,0.457,1
LEAD_000130,Retail Company 130,Contact 130,contact130@company130.com,Product Manager,Retail,11-50,NA,organic,True,2025-05-28,2025-06-14,content_download,3,5,2,58,1799,42,0.426,0
LEAD_000131,Retail Company 131,Contact 131,contact131@company131.com,Marketing Director,Retail,51-200,NA,referral,False,2024-09-07,2024-10-05,case_study_view,7,0,3,158,457,57,0.58,0
LEAD_000132,Manufacturing Company 132,Contact 132,contact132@company132.com,Business Analyst,Manufacturing,11-50,NA,organic,True,2024-12-30,2025-01-11,demo_request,4,0,4,177,142,73,0.731,1
LEAD_000133,SaaS Company 133,Contact 133,contact133@company133.com,Business Analyst,SaaS,51-200,EU,direct,False,2025-01-21,2025-01-27,webinar,10,3,0,48,319,47,0.472,1
LEAD_000134,Manufacturing Company 134,Contact 134,contact134@company134.com,CFO,Manufacturing,11-50,NA,organic,False,2025-08-12,2025-08-25,case_study_view,6,0,2,66,1537,43,0.437,0
LEAD_000135,SaaS Company 135,Contact 135,contact135@company135.com,Product Manager,SaaS,201-1000,EU,referral,False,2025-05-01,2025-05-07,product_tour,8,3,2,122,5569,63,0.636,1
LEAD_000136,SaaS Company 136,Contact 136,contact136@company136.com,Sales Manager,SaaS,1001-5000,APAC,direct,False,2025-04-02,2025-04-10,webinar,8,0,2,79,3731,66,0.663,1
LEAD_000137,Retail Company 137,Contact 137,contact137@company137.com,Marketing Director,Retail,11-50,NA,paid,True,2024-11-04,2024-11-21,pricing_page,7,1,0,47,3303,30,0.301,0
LEAD_000138,Real Estate Company 138,Contact 138,contact138@company138.com,Sales Manager,Real Estate,51-200,APAC,direct,False,2025-05-03,2025-05-16,contact_form,3,1,1,32,1345,33,0.331,1
LEAD_000139,Finance Company 139,Contact 139,contact139@company139.com,CFO,Finance,1-10,LATAM,paid,True,2024-12-23,2024-12-27,product_tour,11,1,2,94,534,52,0.525,1
LEAD_000140,Consulting Company 140,Contact 140,contact140@company140.com,Sales Manager,Consulting,11-50,LATAM,referral,False,2025-03-18,2025-03-26,product_tour,1,1,0,160,1752,10,0.106,0
LEAD_000141,Retail Company 141,Contact 141,contact141@company141.com,CFO,Retail,11-50,MEA,direct,True,2025-07-17,2025-07-20,case_study_view,4,1,1,25,389,23,0.236,0
LEAD_000142,Retail Company 142,Contact 142,contact142@company142.com,CFO,Retail,1-10,NA,paid,False,2025-08-05,2025-08-21,email_open,4,0,0,108,983,13,0.136,0
LEAD_000143,SaaS Company 143,Contact 143,contact143@company143.com,CFO,SaaS,1-10,EU,organic,False,2025-03-05,2025-03-20,trial_signup,7,0,0,151,116,40,0.407,0
LEAD_000144,Healthcare Company 144,Contact 144,contact144@company144.com,VP Sales,Healthcare,11-50,EU,organic,False,2024-12-31,2025-01-14,ad_click,6,1,3,73,1829,52,0.525,0
LEAD_000145,Retail Company 145,Contact 145,contact145@company145.com,VP Sales,Retail,201-1000,LATAM,referral,False,2025-06-21,2025-07-09,content_download,3,2,0,163,827,19,0.199,0
LEAD_000146,Healthcare Company 146,Contact 146,contact146@company146.com,VP Sales,Healthcare,11-50,NA,referral,False,2025-06-16,2025-07-03,contact_form,3,0,4,50,698,65,0.657,1
LEAD_000147,Finance Company 147,Contact 147,contact147@company147.com,Business Analyst,Finance,201-1000,EU,social,True,2025-08-18,2025-09-17,ad_click,4,4,2,89,846,54,0.545,1
